rep,tset,method,pts
8,24/25,ml_ens,1853
8,24/25,blend0,1586
8,24/25,blend10,1586
8,24/25,blend20,1655
8,24/25,blend30,1655
8,24/25,blend40,1643
8,24/25,blend50,1731
8,24/25,blend60,1731
8,24/25,blend70,1798
8,24/25,blend80,1612
8,24/25,blend90,1636
8,24/25,blend100,1853
8,25/26,last-szn,1405
8,25/26,price,922
8,25/26,structural,1397
8,25/26,ridge,1398
8,25/26,gbm,1410
8,25/26,rf,1487
8,25/26,ml_ens,1420
8,25/26,blend0,1476
8,25/26,blend10,1602
8,25/26,blend20,1572
8,25/26,blend30,1572
8,25/26,blend40,1572
8,25/26,blend50,1572
8,25/26,blend60,1626
8,25/26,blend70,1626
8,25/26,blend80,1696
8,25/26,blend90,1637
8,25/26,blend100,1532
9,24/25,last-szn,1574
9,24/25,price,1425
9,24/25,structural,1702
9,24/25,ridge,1834
9,24/25,gbm,1701
9,24/25,rf,1667
9,24/25,ml_ens,1834
9,24/25,blend0,1586
9,24/25,blend10,1586
9,24/25,blend20,1655
9,24/25,blend30,1589
9,24/25,blend40,1615
9,24/25,blend50,1561
9,24/25,blend60,1617
9,24/25,blend70,1662
9,24/25,blend80,1662
9,24/25,blend90,1612
9,24/25,blend100,1659
9,25/26,last-szn,1405
9,25/26,price,922
9,25/26,structural,1397
9,25/26,ridge,1398
9,25/26,gbm,1134
9,25/26,rf,1237
9,25/26,ml_ens,1365
9,25/26,blend0,1476
9,25/26,blend10,1558
9,25/26,blend20,1525
9,25/26,blend30,1525
9,25/26,blend40,1525
9,25/26,blend50,1525
9,25/26,blend60,1525
9,25/26,blend70,1437
9,25/26,blend80,1437
9,25/26,blend90,1487
9,25/26,blend100,1529
10,24/25,last-szn,1574
10,24/25,price,1425
10,24/25,structural,1702
10,24/25,ridge,1714
10,24/25,gbm,1634
10,24/25,rf,1644
10,24/25,ml_ens,1931
10,24/25,blend0,1586
10,24/25,blend10,1586
10,24/25,blend20,1631
10,24/25,blend30,1794
10,24/25,blend40,1643
10,24/25,blend50,1643
10,24/25,blend60,1744
10,24/25,blend70,1678
10,24/25,blend80,1678
10,24/25,blend90,1678
10,24/25,blend100,1780
10,25/26,last-szn,1405
10,25/26,price,922
10,25/26,structural,1397
10,25/26,ridge,1398
10,25/26,gbm,1446
10,25/26,rf,1514
10,25/26,ml_ens,1417
10,25/26,blend0,1476
10,25/26,blend10,1572
10,25/26,blend20,1572
10,25/26,blend30,1572
10,25/26,blend40,1539
10,25/26,blend50,1539
10,25/26,blend60,1539
10,25/26,blend70,1539
10,25/26,blend80,1539
10,25/26,blend90,1581
10,25/26,blend100,1569
11,24/25,last-szn,1574
11,24/25,price,1425
11,24/25,structural,1702
11,24/25,ridge,1714
11,24/25,gbm,1728
11,24/25,rf,1666
11,24/25,ml_ens,1853
11,24/25,blend0,1586
11,24/25,blend10,1586
11,24/25,blend20,1586
11,24/25,blend30,1655
11,24/25,blend40,1672
11,24/25,blend50,1705
11,24/25,blend60,1662
11,24/25,blend70,1662
11,24/25,blend80,1662
11,24/25,blend90,1659
11,24/25,blend100,1853
11,25/26,last-szn,1405
11,25/26,price,922
11,25/26,structural,1397
11,25/26,ridge,1398
11,25/26,gbm,1053
11,25/26,rf,1525
11,25/26,ml_ens,1420
11,25/26,blend0,1476
11,25/26,blend10,1558
11,25/26,blend20,1525
11,25/26,blend30,1525
11,25/26,blend40,1525
11,25/26,blend50,1525
11,25/26,blend60,1525
11,25/26,blend70,1525
11,25/26,blend80,1525
11,25/26,blend90,1696
11,25/26,blend100,1584
